TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,TEST_SEX
1,남원,노인,출장,74,관리자,참가증,20180809,F
1,남원,노인,출장,80,관리자,3등급,20180809,F
1,남원,노인,출장,80,관리자,3등급,20180809,F
1,오산,성인,일반,32,인바디,참가증,20180809,F
2,포항,노인,출장,76,관리자,참가증,20180808,M
2,포항,노인,출장,73,관리자,참가증,20180808,M
2,포항,노인,출장,68,관리자,참가증,20180808,M
1,포항,노인,출장,76,관리자,참가증,20180808,M
2,포항,노인,출장,70,관리자,참가증,20180809,M
2,달서,성인,일반,24,인바디,참가증,20180810,F
2,의정부,노인,일반,65,관리자,2등급,20180810,F
1,금천,성인,출장,51,관리자,3등급,20180810,F
2,증평,성인,일반,37,관리자,3등급,20180810,F
1,원주,성인,일반,60,인바디,3등급,20180810,M
1,성동,성인,출장,22,관리자,3등급,20180810,M
3,포항,청소년,일반,13,인바디,3등급,20180810,F
1,연수,노인,일반,75,관리자,참가증,20180810,F
1,사상,성인,일반,57,인바디,참가증,20180810,F
1,성동,성인,출장,22,관리자,3등급,20180810,M
1,서초,성인,출장,21,관리자,참가증,20180831,M
1,서초,성인,출장,22,관리자,참가증,20180831,M
1,성동,성인,출장,49,관리자,참가증,20180810,M
1,서구(대전),노인,출장,73,관리자,2등급,20180810,F
1,남구(울산),성인,출장,32,관리자,참가증,20180809,F
1,서구(대전),노인,출장,74,관리자,3등급,20180810,M
1,서구(대전),노인,출장,66,관리자,3등급,20180810,M
1,남구(울산),성인,일반,28,관리자,참가증,20180810,F
1,서구(대전),노인,출장,72,관리자,3등급,20180810,M
1,서구(대전),노인,출장,75,관리자,3등급,20180810,F
3,서구(대전),노인,출장,73,관리자,1등급,20180810,M
2,마포,성인,일반,34,관리자,참가증,20180810,F
1,남원,성인,일반,35,인바디,참가증,20180810,M
1,동작,노인,일반,75,관리자,3등급,20180810,M
1,성남,노인,일반,66,관리자,참가증,20180810,M
1,의정부,청소년,일반,13,관리자,참가증,20180810,F
1,동작,성인,일반,60,관리자,2등급,20180810,F
1,사하,노인,일반,74,관리자,참가증,20180810,F
1,오산,성인,일반,55,인바디,참가증,20180810,F
1,남구(부산),노인,일반,72,관리자,3등급,20180810,M
1,삼척,청소년,출장,16,관리자,참가증,20180830,F
1,삼척,청소년,출장,16,관리자,참가증,20180830,M
1,삼척,청소년,출장,17,관리자,참가증,20180830,F
1,순천,청소년,일반,18,인바디,참가증,20180830,F
1,달서,노인,출장,75,관리자,3등급,20180830,F
1,달서,노인,출장,76,관리자,3등급,20180830,F
1,동작,성인,일반,62,관리자,참가증,20180830,F
1,금천,성인,일반,44,관리자,2등급,20180830,M
1,달서,노인,출장,72,관리자,3등급,20180830,F
1,달서,노인,출장,74,관리자,2등급,20180830,F
1,남구(울산),성인,일반,48,관리자,참가증,20180830,M
1,삼척,청소년,출장,17,관리자,참가증,20180830,F
1,성남,청소년,출장,15,관리자,참가증,20180830,F
1,삼척,청소년,출장,13,관리자,참가증,20180830,F
1,삼척,청소년,출장,17,관리자,참가증,20180830,F
1,삼척,청소년,출장,17,관리자,참가증,20180830,F
1,KSPO송파(출장A),성인,출장,54,관리자,참가증,20180830,F
2,금천,성인,일반,34,관리자,참가증,20180830,M
2,금천,성인,일반,36,관리자,참가증,20180830,M
1,삼척,청소년,출장,17,관리자,참가증,20180830,M
1,삼척,청소년,출장,17,관리자,참가증,20180830,F
1,삼척,청소년,출장,17,관리자,참가증,20180830,F
1,삼척,청소년,출장,16,관리자,참가증,20180830,M
1,삼척,청소년,출장,17,관리자,참가증,20180830,F
1,삼척,청소년,출장,17,관리자,참가증,20180830,M
1,삼척,청소년,출장,17,관리자,참가증,20180830,M
2,서구(대전),노인,출장,68,관리자,3등급,20180830,F
1,서구(대전),노인,출장,70,관리자,3등급,20180830,F
1,서구(대전),노인,출장,69,관리자,3등급,20180830,F
1,서구(대전),노인,출장,80,관리자,참가증,20180830,F
3,서구(대전),노인,출장,75,관리자,2등급,20180830,F
1,서구(대전),노인,출장,83,관리자,3등급,20180830,F
1,창원,노인,출장,71,관리자,참가증,20180828,M
2,창원,노인,출장,82,관리자,3등급,20180828,M
1,창원,노인,출장,81,관리자,참가증,20180828,M
6,동구(광주),노인,일반,67,관리자,3등급,20180829,M
1,창원,노인,출장,71,관리자,3등급,20180828,M
1,동구(광주),청소년,출장,15,관리자,참가증,20180829,F
2,마포,성인,일반,30,관리자,참가증,20180814,F
1,금천,노인,일반,75,관리자,참가증,20180810,M
5,오산,성인,일반,29,관리자,참가증,20180810,M
1,청주,성인,일반,62,인바디,참가증,20180810,F
2,사상,성인,일반,55,인바디,3등급,20180810,M
2,순천,성인,출장,39,관리자,3등급,20180811,F
1,KSPO송파,성인,일반,23,인바디,2등급,20180811,F
4,순천,노인,일반,69,인바디,3등급,20180811,M
1,KSPO송파,성인,일반,31,인바디,참가증,20180811,M
1,춘천,청소년,출장,18,관리자,2등급,20180811,M
2,동구(광주),성인,일반,63,관리자,참가증,20180813,M
4,금천,노인,일반,78,관리자,참가증,20180813,F
1,삼척,성인,일반,50,관리자,참가증,20180813,M
1,노원,노인,출장,78,관리자,참가증,20180813,M
6,순천,성인,일반,42,인바디,참가증,20180813,F
1,동구(광주),노인,일반,72,관리자,참가증,20180813,M
1,증평,노인,일반,66,관리자,참가증,20180813,F
3,성남,성인,출장,51,관리자,참가증,20180813,M
2,포항,성인,출장,45,관리자,참가증,20180813,F
3,남구(울산),성인,일반,61,관리자,참가증,20180813,M
1,마포,노인,일반,66,관리자,참가증,20180813,M
3,남구(울산),성인,일반,58,관리자,참가증,20180813,F
1,제주,성인,일반,37,관리자,3등급,20180813,F
1,제주,성인,일반,29,관리자,2등급,20180813,F
1,동구(광주),성인,일반,23,관리자,참가증,20180813,M
2,세종,성인,일반,30,인바디,2등급,20180813,F
2,성동,노인,출장,84,관리자,3등급,20180813,M
3,안동,노인,일반,72,관리자,3등급,20180813,F
1,서구(대전),노인,출장,69,관리자,3등급,20180813,F
2,목포,청소년,일반,16,관리자,3등급,20180813,M
1,천안,성인,일반,56,인바디,3등급,20180813,F
1,노원,노인,출장,67,관리자,참가증,20180813,M
1,노원,노인,출장,68,관리자,3등급,20180813,M
1,동구(광주),성인,일반,19,관리자,참가증,20180813,F
1,노원,노인,출장,83,관리자,3등급,20180813,M
2,남원,노인,일반,67,관리자,참가증,20180813,F
1,화성,성인,일반,55,관리자,2등급,20180813,F
7,제주,성인,일반,37,관리자,2등급,20180813,M
1,춘천,성인,일반,39,관리자,참가증,20180831,F
1,서초,성인,출장,20,관리자,참가증,20180831,M
1,남구(울산),노인,출장,66,관리자,3등급,20180831,M
1,원주,성인,일반,47,관리자,참가증,20180831,F
2,춘천,성인,일반,47,인바디,참가증,20180831,F
1,목포,성인,일반,62,관리자,참가증,20180831,F
1,춘천,성인,일반,29,인바디,참가증,20180831,F
1,서초,성인,출장,20,관리자,3등급,20180831,M
1,동구(광주),청소년,출장,16,관리자,참가증,20180831,F
1,오산,성인,일반,64,인바디,3등급,20180831,F
1,동구(광주),청소년,출장,16,관리자,참가증,20180831,F
5,금천,노인,일반,75,관리자,2등급,20180831,F
1,남구(울산),노인,출장,78,관리자,참가증,20180831,M
1,서구(대전),노인,출장,75,관리자,참가증,20180829,F
1,남구(부산),성인,출장,63,관리자,2등급,20180831,F
3,서구(대전),노인,출장,71,관리자,참가증,20180829,M
2,서구(대전),노인,출장,76,관리자,참가증,20180829,F
1,남구(울산),노인,출장,79,관리자,참가증,20180831,F
1,성동,성인,일반,55,관리자,2등급,20180831,F
1,남구(울산),노인,출장,65,관리자,3등급,20180831,F
1,남구(부산),노인,출장,68,관리자,2등급,20180831,M
1,성동,청소년,출장,15,관리자,2등급,20180828,M
38,KSPO(버스),성인,출장,24,관리자,참가증,20180831,F
9,금천,노인,일반,76,관리자,1등급,20180831,M
1,KSPO송파(출장A),성인,출장,61,관리자,참가증,20180831,F
1,남구(울산),노인,출장,80,관리자,참가증,20180831,F
1,곡성,성인,일반,52,관리자,3등급,20180831,M
1,남구(울산),노인,출장,80,관리자,참가증,20180831,F
1,서구(대전),성인,일반,43,관리자,참가증,20180831,F
1,서구(대전),성인,일반,42,관리자,참가증,20180831,F
1,서초,성인,출장,20,관리자,참가증,20180831,F
1,의정부,성인,일반,33,관리자,참가증,20180831,F
3,동구(광주),성인,출장,19,관리자,3등급,20180831,F
1,성동,청소년,출장,15,관리자,2등급,20180828,M
1,안동,성인,일반,44,관리자,참가증,20180831,F
3,동구(광주),성인,출장,20,관리자,2등급,20180830,F
2,마포,노인,일반,73,인바디,참가증,20180813,F
1,성동,노인,일반,77,관리자,2등급,20180813,M
2,남구(울산),성인,일반,62,관리자,참가증,20180813,F
2,안동,성인,일반,39,관리자,참가증,20180813,F
4,포항,성인,출장,52,관리자,참가증,20180813,M
2,남구(울산),성인,일반,57,관리자,참가증,20180814,F
1,증평,노인,출장,81,관리자,1등급,20180814,F
1,제주,성인,일반,55,관리자,3등급,20180814,F
2,청주,성인,일반,64,인바디,참가증,20180814,F
3,성남,성인,출장,31,관리자,2등급,20180814,M
1,원주,성인,일반,60,인바디,2등급,20180814,M
1,창원,성인,일반,43,관리자,3등급,20180814,F
1,노원,노인,출장,68,관리자,3등급,20180814,M
4,청주,성인,일반,59,인바디,3등급,20180814,F
1,서초,노인,일반,74,인바디,3등급,20180814,M
1,금천,성인,일반,19,관리자,참가증,20180814,F
1,성남,성인,출장,25,관리자,3등급,20180814,M
2,성동,노인,일반,73,관리자,참가증,20180814,M
1,KSPO송파,노인,출장,74,관리자,2등급,20180814,M
6,성동,성인,일반,61,관리자,1등급,20180814,F
1,마포,노인,일반,75,관리자,3등급,20180814,M
2,성남,성인,출장,31,관리자,참가증,20180814,M
1,전주,성인,일반,22,인바디,참가증,20180814,F
1,충주,성인,일반,33,관리자,2등급,20180814,M
1,KSPO송파(출장A),성인,출장,59,관리자,참가증,20180814,M
2,순천,노인,일반,69,인바디,참가증,20180814,F
1,의정부,노인,일반,70,관리자,참가증,20180814,M
1,성동,노인,일반,76,관리자,3등급,20180814,M
1,성남,성인,출장,36,관리자,참가증,20180814,M
1,원주,노인,일반,65,인바디,참가증,20180814,F
1,사하,성인,일반,63,관리자,참가증,20180814,F
1,곡성,성인,일반,27,관리자,2등급,20180814,M
1,성동,성인,일반,60,관리자,2등급,20180814,M
4,청주,노인,일반,72,인바디,1등급,20180814,M
9,청주,노인,일반,67,인바디,2등급,20180814,F
2,KSPO송파,노인,출장,66,관리자,참가증,20180814,M
6,청주,노인,일반,65,인바디,2등급,20180814,F
1,오산,노인,일반,67,인바디,3등급,20180829,F
4,남원,성인,일반,34,관리자,1등급,20180829,M
1,마포,성인,일반,28,관리자,참가증,20180829,F
1,달서,성인,일반,38,인바디,3등급,20180829,F
11,영동,성인,일반,24,관리자,2등급,20180816,M
1,노원,노인,출장,73,관리자,참가증,20180816,M
1,남구(부산),성인,출장,54,관리자,3등급,20180816,F
4,청주,성인,일반,39,인바디,참가증,20180816,M
1,금천,성인,일반,61,관리자,참가증,20180816,F
2,성남,성인,출장,61,관리자,2등급,20180816,M
2,증평,노인,일반,68,관리자,참가증,20180816,F
1,목포,노인,일반,68,관리자,3등급,20180816,F
11,순천,성인,일반,20,인바디,3등급,20180816,M
7,청주,노인,일반,67,인바디,2등급,20180814,F
18,청주,노인,일반,81,인바디,1등급,20180814,F
7,청주,노인,일반,69,인바디,참가증,20180814,F
3,청주,노인,일반,72,인바디,참가증,20180814,M
20,청주,노인,일반,66,인바디,1등급,20180814,M
3,오산,성인,일반,27,관리자,3등급,20180814,M
1,사하,성인,일반,19,관리자,참가증,20180815,M
1,마포,노인,일반,71,관리자,참가증,20180815,M
1,마포,성인,일반,63,관리자,2등급,20180815,F
1,곡성,청소년,일반,17,관리자,2등급,20180816,M
1,순천,성인,일반,20,인바디,3등급,20180816,F
1,안동,성인,일반,55,관리자,1등급,20180816,F
13,곡성,노인,일반,69,관리자,3등급,20180816,F
1,달서,성인,일반,63,인바디,참가증,20180816,F
1,성동,노인,일반,66,관리자,3등급,20180816,M
1,성동,노인,일반,65,관리자,3등급,20180816,F
2,남구(부산),성인,출장,58,관리자,2등급,20180816,F
2,KSPO송파,성인,일반,53,인바디,참가증,20180816,F
1,곡성,성인,일반,45,관리자,2등급,20180816,F
3,나주,성인,일반,27,관리자,2등급,20180816,F
1,성동,성인,일반,43,관리자,참가증,20180816,M
1,사상,청소년,일반,18,관리자,참가증,20180816,M
1,서구(대전),성인,일반,24,관리자,3등급,20180816,F
1,달서,성인,일반,54,인바디,참가증,20180816,F
1,남구(부산),성인,출장,58,관리자,2등급,20180816,F
6,청주,성인,일반,64,인바디,1등급,20180816,F
1,광산,성인,일반,44,관리자,참가증,20180817,M
6,성동,노인,일반,70,관리자,3등급,20180817,F
3,금천,노인,일반,74,관리자,3등급,20180827,F
1,남구(부산),청소년,출장,13,관리자,참가증,20180827,F
1,남구(부산),청소년,출장,13,관리자,참가증,20180827,F
1,서초,노인,일반,65,인바디,2등급,20180827,F
3,남구(부산),청소년,출장,15,관리자,참가증,20180827,F
2,화성,성인,일반,64,관리자,1등급,20180827,M
1,성남,청소년,출장,13,관리자,2등급,20180827,F
3,남구(부산),청소년,출장,14,관리자,참가증,20180827,F
3,남구(부산),청소년,출장,14,관리자,참가증,20180827,F
1,성남,청소년,출장,13,관리자,3등급,20180827,F
1,성남,청소년,출장,13,관리자,참가증,20180827,M
1,성남,청소년,출장,13,관리자,참가증,20180827,F
1,남구(부산),청소년,출장,13,관리자,참가증,20180827,F
1,성남,청소년,출장,13,관리자,3등급,20180827,F
1,성남,청소년,출장,13,관리자,3등급,20180827,M
5,마포,성인,일반,63,관리자,3등급,20180827,F
1,남구(부산),청소년,출장,13,관리자,3등급,20180827,F
1,동구(광주),청소년,출장,16,관리자,참가증,20180827,F
1,성남,청소년,출장,15,관리자,참가증,20180827,F
1,포항,청소년,출장,18,관리자,참가증,20180827,F
1,포항,청소년,출장,18,관리자,참가증,20180827,F
4,세종,성인,출장,62,관리자,2등급,20180827,F
1,포항,청소년,출장,17,관리자,참가증,20180827,F
2,동구(광주),청소년,출장,17,관리자,2등급,20180827,F
1,성남,청소년,출장,14,관리자,참가증,20180827,M
1,동구(광주),청소년,출장,15,관리자,참가증,20180827,F
4,세종,성인,출장,38,관리자,참가증,20180827,F
2,동구(광주),청소년,출장,16,관리자,3등급,20180827,F
1,동구(광주),청소년,출장,16,관리자,참가증,20180827,F
4,세종,성인,출장,53,관리자,참가증,20180827,F
1,청주,성인,일반,46,인바디,참가증,20180827,F
4,마포,노인,출장,70,관리자,참가증,20180827,F
1,KSPO(버스),성인,출장,51,관리자,참가증,20180827,F
1,사상,성인,일반,27,관리자,3등급,20180827,F
2,동구(광주),청소년,출장,17,관리자,2등급,20180827,F
3,동구(광주),청소년,출장,18,관리자,3등급,20180830,F
1,동구(광주),청소년,출장,16,관리자,참가증,20180830,F
1,동구(광주),청소년,출장,16,관리자,참가증,20180830,F
1,동구(광주),청소년,출장,16,관리자,참가증,20180830,F
2,순천,성인,일반,20,인바디,3등급,20180830,M
2,동구(광주),청소년,출장,17,관리자,3등급,20180830,F
